City	State	2015 Est Population	2010 Census	2014 Land Area
New York	New York	8,550,405	8,175,133	302.6 sq mi
Los Angeles	California	3,971,883	3,792,621	468.7 sq mi
Chicago	Illinois	2,720,546	2,695,598	227.6 sq mi
Houston	Texas	2,296,224	2,100,263	599.6 sq mi
Philadelphia	Pennsylvania	1,567,442	1,526,006	134.1 sq mi
Phoenix	Arizona	1,563,025	1,445,632	516.7 sq mi
San Antonio	Texas	1,469,845	1,327,407	460.9 sq mi
San Diego	California	1,394,928	1,307,402	325.2 sq mi
Dallas	Texas	1,300,092	1,197,816	340.5 sq mi
San Jose	California	1,026,908	945,942	176.6 sq mi
Austin	Texas	931,830	790,390	322.48 sq mi
Jacksonville	Florida	868,031	821,784	747.0 sq mi
San Francisco	California	864,816	805,235	46.9 sq mi
Indianapolis	Indiana	853,173	820,445	361.4 sq mi
Columbus	Ohio	850,106	787,033	217.2 sq mi
Fort Worth	Texas	833,319	741,206	339.8 sq mi
Charlotte	North Carolina	827,097	731,424	297.7 sq mi
Seattle	Washington	684,451	608,660	83.9 sq mi
Denver	Colorado	682,545	600,158	153.0 sq mi
El Paso	Texas	681,124	649,121	255.2 sq mi
Detroit	Michigan	677,116	713,777	138.8 sq mi
Washington	District of Columbia	672,228	601,723	61.0 sq mi
Boston	Massachusetts	667,137	617,594	48.3 sq mi
Memphis	Tennessee	655,770	646,889	315.1 sq mi
Nashville	Tennessee	654,610	601,222	475.1 sq mi
Portland	Oregon	632,309	583,776	133.4 sq mi
Oklahoma City	Oklahoma	631,346	579,999	606.4 sq mi
Las Vegas	Nevada	623,747	583,756	135.8 sq mi
Baltimore	Maryland	621,849	620,961	80.9 sq mi
Louisville	Kentucky	615,366	597,337	325.2 sq mi
Milwaukee	Wisconsin	600,155	594,833	96.1 sq mi
Albuquerque	New Mexico	559,121	545,852	187.7 sq mi
Tucson	Arizona	531,641	520,116	226.7 sq mi
Fresno	California	520,052	494,665	113.2 sq mi
Sacramento	California	490,712	466,488	97.9 sq mi
Kansas City	Missouri	475,378	459,787	315.0 sq mi
Long Beach	California	474,140	462,257	50.3 sq mi
Mesa	Arizona	471,825	439,041	136.5 sq mi
Atlanta	Georgia	463,878	420,003	133.2 sq mi
Colorado Springs	Colorado	456,568	416,427	194.5 sq mi
Virginia Beach	Virginia	452,745	437,994	249.0 sq mi
Raleigh	North Carolina	451,066	403,892	142.9 sq mi
Omaha	Nebraska	443,885	408,958	127.1 sq mi
Miami	Florida	441,003	399,457	35.9 sq mi
Oakland	California	419,267	390,724	55.9 sq mi
Minneapolis	Minnesota	410,939	382,578	54.0 sq mi
Tulsa	Oklahoma	403,505	391,906	196.8 sq mi
Wichita	Kansas	389,965	382,368	159.3 sq mi
New Orleans	Louisiana	389,617	343,829	169.4 sq mi
Arlington	Texas	388,125	365,438	95.9 sq mi
Cleveland	Ohio	388,072	396,815	77.7 sq mi
Bakersfield	California	373,640	347,483	142.2 sq mi
Tampa	Florida	369,075	335,709	113.4 sq mi
Aurora	Colorado	359,407	325,078	154.1 sq mi
Honolulu	Hawai'i	352,769	337,256	60.5 sq mi
Anaheim	California	350,742	336,265	49.8 sq mi
Santa Ana	California	335,400	324,528	27.3 sq mi
Corpus Christi	Texas	324,074	305,215	160.6 sq mi
Riverside	California	322,424	303,871	81.1 sq mi
St. Louis	Missouri	315,685	319,294	61.9 sq mi
Lexington	Kentucky	314,488	295,803	283.6 sq mi
Stockton	California	305,658	291,707	61.7 sq mi
Pittsburgh	Pennsylvania	304,391	305,704	55.4 sq mi
Saint Paul	Minnesota	300,851	285,068	52.0 sq mi
Anchorage	Alaska	298,695	291,826	1,704.7 sq mi
Cincinnati	Ohio	298,550	296,943	77.9 sq mi
Henderson	Nevada	285,667	257,729	107.7 sq mi
Greensboro	North Carolina	285,342	269,666	126.5 sq mi
Plano	Texas	283,558	259,841	71.6 sq mi
Newark	New Jersey	281,944	277,140	24.2 sq mi
Toledo	Ohio	279,789	287,208	80.7 sq mi
Lincoln	Nebraska	277,348	258,379	89.1 sq mi
Orlando	Florida	270,934	238,300	102.4 sq mi
Chula Vista	California	265,757	243,916	49.6 sq mi
Jersey City	New Jersey	264,290	247,597	14.8 sq mi
Chandler	Arizona	260,828	236,123	64.4 sq mi
Fort Wayne	Indiana	260,326	253,691	110.6 sq mi
Buffalo	New York	258,071	261,310	40.4 sq mi
Durham	North Carolina	257,636	228,330	107.4 sq mi
St. Petersburg	Florida	257,083	244,769	61.7 sq mi
Irvine	California	256,927	212,375	66.1 sq mi
Laredo	Texas	255,473	236,091	88.9 sq mi
Lubbock	Texas	249,042	229,573	122.4 sq mi
Madison	Wisconsin	248,951	233,209	76.8 sq mi
Gilbert	Arizona	247,542	208,453	68.0 sq mi
Norfolk	Virginia	246,393	242,803	54.1 sq mi
Reno	Nevada	241,445	225,221	103.0 sq mi
Winston–Salem	North Carolina	241,218	229,617	132.4 sq mi
Glendale	Arizona	240,126	226,721	60.0 sq mi
Hialeah	Florida	237,069	224,669	21.5 sq mi
Garland	Texas	236,897	226,876	57.1 sq mi
Scottsdale	Arizona	236,839	217,385	183.9 sq mi
Irving	Texas	236,607	216,290	67.0 sq mi
Chesapeake	Virginia	235,429	222,209	340.8 sq mi
North Las Vegas	Nevada	234,807	216,961	101.3 sq mi
Fremont	California	232,206	214,089	77.5 sq mi
Baton Rouge	Louisiana	228,590	229,493	76.9 sq mi
Richmond	Virginia	220,289	204,214	59.8 sq mi
Boise	Idaho	218,281	205,671	79.4 sq mi
San Bernardino	California	216,108	209,924	59.2 sq mi
Spokane	Washington	213,272	208,916	59.2 sq mi
Birmingham	Alabama	212,461	212,237	146.1 sq mi
Modesto	California	211,266	201,165	36.9 sq mi
Des Moines	Iowa	210,330	203,433	80.9 sq mi
Rochester	New York	209,802	210,565	35.8 sq mi
Tacoma	Washington	207,948	198,397	49.7 sq mi
Fontana	California	207,460	196,069	42.4 sq mi
Oxnard	California	207,254	197,899	26.9 sq mi
Moreno Valley	California	204,198	193,365	51.3 sq mi
Fayetteville	North Carolina	201,963	200,564	145.8 sq mi
Huntington Beach	California	201,899	189,992	26.7 sq mi
Yonkers	New York	201,116	195,976	18.0 sq mi
Glendale	California	201,020	191,719	30.5 sq mi
Aurora	Illinois	200,661	197,899	44.9 sq mi
Montgomery	Alabama	200,602	205,764	159.6 sq mi
Columbus	Georgia	200,579	189,885	216.4 sq mi
Amarillo	Texas	198,645	190,695	99.5 sq mi
Little Rock	Arkansas	197,992	193,524	119.2 sq mi
Akron	Ohio	197,542	199,110	62.0 sq mi
Shreveport	Louisiana	197,204	199,311	105.4 sq mi
Augusta	Georgia	197,182	195,844	302.5 sq mi
Grand Rapids	Michigan	195,097	188,040	44.4 sq mi
Mobile	Alabama	194,288	195,111	139.1 sq mi
Salt Lake City	Utah	192,672	186,440	111.1 sq mi
Huntsville	Alabama	190,582	180,105	209.1 sq mi
Tallahassee	Florida	189,907	181,376	100.2 sq mi
Grand Prairie	Texas	187,809	175,396	72.1 sq mi
Overland Park	Kansas	186,515	173,372	74.8 sq mi
Knoxville	Tennessee	185,291	178,874	98.5 sq mi
Worcester	Massachusetts	184,815	181,045	37.4 sq mi
Brownsville	Texas	183,887	175,023	132.3 sq mi
Newport News	Virginia	182,385	180,719	68.7 sq mi
Santa Clarita	California	182,371	176,320	52.7 sq mi
Port St. Lucie	Florida	179,413	164,603	114.0 sq mi
Providence	Rhode Island	179,207	178,042	18.4 sq mi
Fort Lauderdale	Florida	178,590	165,521	34.8 sq mi
Chattanooga	Tennessee	176,588	167,674	137.2 sq mi
Tempe	Arizona	175,826	161,719	39.9 sq mi
Oceanside	California	175,691	167,086	41.2 sq mi
